time,asset,CapMVRVCur,NVTAdj,PriceUSD,returns,log_mvrv,log_nvt
2020-01-04 00:00:00+00:00,ada,0.389707053518,26.922193844259,0.0343408530227501,0.008468680175004,0.008944322831305085,0.5442270260473236
2020-01-05 00:00:00+00:00,ada,0.391221367873,45.105488850447,0.0344652510771188,0.0036159056390641,0.0038782459737930486,0.5160529466907353
2020-01-06 00:00:00+00:00,ada,0.422175884709,18.740204999574,0.0372105891192737,0.076641773217533,0.07614845759258138,-0.8783327272090755
2020-01-07 00:00:00+00:00,ada,0.42078123948,13.531789761856,0.0370316875073858,-0.0048194092716737,-0.003308938168942843,-0.32562950146640013
2020-01-08 00:00:00+00:00,ada,0.41429886217,12.4220081119,0.0363778943801538,-0.0178126723306473,-0.015525474756777458,-0.0855719672650821
2020-01-09 00:00:00+00:00,ada,0.411000682603,41.193123934291,0.0360803317687618,-0.0082134023975655,-0.007992727358675733,1.1988016004644462
2020-01-10 00:00:00+00:00,ada,0.419645705539,16.087502486155,0.0368220551754862,0.0203491005550104,0.020815921712063923,-0.9402286201664496
2020-01-11 00:00:00+00:00,ada,0.42010851852,32.270426167056,0.0368468095877313,0.0006720454633408,0.0011022582908168932,0.6961084848072936
2020-01-12 00:00:00+00:00,ada,0.431237344824,42.621294563714,0.0376417519329894,0.0213448215458429,0.026145567247048418,0.27820278849931857
2020-01-13 00:00:00+00:00,ada,0.423051740111,44.370044711006,0.0369153536754575,-0.019486304809793,-0.019164133965895336,0.0402105723074242
2020-01-14 00:00:00+00:00,ada,0.476025707575,10.994112654765,0.0416414340944484,0.1204681301909316,0.11797737167013189,-1.3952046567583416
2020-01-15 00:00:00+00:00,ada,0.486900049172,12.755466897094,0.0425975716917356,0.0227015656469271,0.022587003895015445,0.1486000396313596
2020-01-16 00:00:00+00:00,ada,0.473577199839,21.259461677678,0.0414200311886271,-0.0280326401573258,-0.027743923999506315,0.51084209574495
2020-01-17 00:00:00+00:00,ada,0.517395204206,20.228341430677,0.045264184632233,0.0887514846073465,0.08849206050399216,-0.049717389506527265
2020-01-18 00:00:00+00:00,ada,0.51354745714,25.606307377991,0.0449215166028697,-0.0075992019510384,-0.0074645566169615485,0.235754040903982
2020-01-19 00:00:00+00:00,ada,0.48055366452,21.33579175799,0.0419967860477753,-0.06732379892484,-0.06640353714698333,-0.18245267638336182
2020-01-20 00:00:00+00:00,ada,0.501922661079,11.34589755887,0.0439139639266661,0.0446392617093982,0.04350713930827743,-0.6315297966764519
2020-01-21 00:00:00+00:00,ada,0.52578241724,14.849938518903,0.0459143302497329,0.0445449198241791,0.046441425494031185,0.2691394950674981
2020-01-22 00:00:00+00:00,ada,0.5208049437,18.431647747479,0.0454597618702152,-0.0099496940329206,-0.009511888360609566,0.21607344830957542
2020-01-23 00:00:00+00:00,ada,0.493723234689,27.238607651603,0.0430659428153042,-0.0540950853390334,-0.05340047683962401,0.39056619245494906
2020-01-24 00:00:00+00:00,ada,0.513625631912,24.341126108643,0.0448200113647082,0.0399222270911074,0.03951955097998383,-0.11246801361246428
2020-01-25 00:00:00+00:00,ada,0.495448184749,33.651032278766,0.0432181522087515,-0.0363941249237167,-0.036031880845960984,0.323876380301348
2020-01-26 00:00:00+00:00,ada,0.509349134769,22.550159767306,0.0444369958601314,0.0278117655670615,0.027670927683029478,-0.40030158160408913
2020-01-27 00:00:00+00:00,ada,0.548331385291,33.377678508102,0.0478520136707459,0.0740408374172765,0.07374611752600668,0.3921452174763189
2020-01-28 00:00:00+00:00,ada,0.602064885318,9.823307057172,0.05284264631536,0.0992053600718181,0.09348540055666354,-1.223129535218857
2020-01-29 00:00:00+00:00,ada,0.611683615196,6.560592972925,0.0537347267322138,0.016740912740635,0.015849957783057533,-0.40367684212066246
2020-01-30 00:00:00+00:00,ada,0.638728555879,8.767579548399,0.0561688451646213,0.0443027738767214,0.043264388740985704,0.28997978500539245
2020-01-31 00:00:00+00:00,ada,0.605212926104,8.413192525979,0.0539469783496549,-0.0403605648977047,-0.0538992288583261,-0.04125976344044391
2020-02-01 00:00:00+00:00,ada,0.629313746293,21.302234309369,0.0561389522408602,0.0398282256450865,0.03904959399124269,0.9290109517175389
2020-02-02 00:00:00+00:00,ada,0.62548808341,17.500537299634,0.0558058355004127,-0.0059514646535308,-0.006097655655355194,-0.19658038107315745
